"","m_name","m_director","m_actor","m_year","m_country","m_type","m_score","m_commit_count","m_detail_url"
"54","大闹天宫","导演: 万籁鸣 Laiming Wan","主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...","1961(中国大陆)","中国大陆","剧情 动画 奇幻 古装","9.4","366656","https://movie.douban.com/subject/1418019/"
"55","教父2","导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola","主演: 阿尔·帕西诺 A...","1974","美国","剧情 犯罪","9.2","464800","https://movie.douban.com/subject/1299131/"
"56","让子弹飞","导演: 姜文 Wen Jiang","主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...","2010","中国大陆 中国香港","剧情 喜剧 动作 西部","8.9","1444323","https://movie.douban.com/subject/3742360/"
"57","搏击俱乐部","导演: 大卫·芬奇 David Fincher","主演: 爱德华·诺顿 Edward Norton / 布拉...","1999","美国 德国 意大利","剧情 动作 悬疑 惊悚","9.0","737864","https://movie.douban.com/subject/1292000/"
"58","狮子王","导演: Roger Allers / 罗伯·明可夫 Rob Minkoff","主演: 乔纳森·泰勒·托马...","1994","美国","动画 冒险 歌舞","9.1","723564","https://movie.douban.com/subject/1301753/"
"59","黑客帝国","导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski","主...","1999","美国","动作 科幻","9.1","720963","https://movie.douban.com/subject/1291843/"
"60","饮食男女","导演: 李安 Ang Lee","主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...","1994","中国台湾 美国","剧情 家庭","9.1","523915","https://movie.douban.com/subject/1291818/"
"61","美丽心灵","导演: 朗·霍华德 Ron Howard","主演: 罗素·克劳 Russell Crowe / 艾德·哈...","2001","美国","传记 剧情","9.0","664991","https://movie.douban.com/subject/1306029/"
"62","海蒂和爷爷","导演: 阿兰·葛斯彭纳 Alain Gsponer","主演: 阿努克·斯特芬 Anuk Steffen /...","2015","德国 瑞士","剧情 冒险 家庭","9.3","437497","https://movie.douban.com/subject/25958717/"
"63","窃听风暴","导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...","","2006","德国","剧情 悬疑","9.2","488974","https://movie.douban.com/subject/1900841/"
"64","两杆大烟枪","导演: Guy Ritchie","主演: Jason Flemyng / Dexter Fletcher / Nick Moran","1998","英国","剧情 喜剧 犯罪","9.1","525379","https://movie.douban.com/subject/1293350/"
"65","本杰明·巴顿奇事","导演: 大卫·芬奇 David Fincher","主演: 凯特·布兰切特 Cate Blanchett / ...","2008","美国","剧情 爱情 奇幻","9.0","858605","https://movie.douban.com/subject/1485260/"
"66","情书","导演: 岩井俊二 Shunji Iwai","主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...","1995","日本","剧情 爱情","8.9","913603","https://movie.douban.com/subject/1292220/"
"67","飞越疯人院","导演: 米洛斯·福尔曼 Miloš Forman","主演: 杰克·尼科尔森 Jack Nichols...","1975","美国","剧情","9.1","492610","https://movie.douban.com/subject/1292224/"
"68","穿条纹睡衣的男孩","导演: 马克·赫尔曼 Mark Herman","主演: 阿萨·巴特菲尔德 Asa Butterfield ...","2008","英国 美国","剧情 战争","9.1","464025","https://movie.douban.com/subject/3008247/"
"69","西西里的美丽传说","导演: 朱塞佩·托纳多雷 Giuseppe Tornatore","主演: 莫妮卡·贝鲁奇 Monica ...","2000","意大利 美国","剧情 战争 情色","8.9","851292","https://movie.douban.com/subject/1292402/"
